attribute,value,fixed,tupleid
hospital owner,Voluntary non-profit - Private,t,829
emergency service,Yes,t,829
condition,Heart Attack,f,829
measure code,AMI-2,f,829
measure name,Heart Attack Patients Given Aspirin at Discharge,f,829
score,100%,t,829
sample,1 patients,t,829
stateavg,AL_AMI-2,f,829
provider number,10043,t,830
hospital name,CHILTON MEDICAL CENTER,t,830
address1,1010 LAY DAM ROAD,t,830
address2,,t,830
address3,,t,830
city,CLANTON,t,830
state,AL,t,830
zip code,35045,t,830
county name,CHILTON,t,830
phone number,2057552500,t,830
hospital type,Acute Care Hospitals,t,830
hospital owner,Voluntary non-profit - Private,t,830
emergency service,Yes,t,830
condition,Heart Attack,f,830
measure code,AMI-3,f,830
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,830
score,100%,t,830
sample,1 patients,t,830
stateavg,AL_AMI-3,t,830
provider number,10043,t,831
hospital name,CHILTON MEDICAL CENTER,t,831
address1,1010 LAY DAM ROAD,t,831
address2,,t,831
address3,,t,831
city,CLANTON,t,831
state,AL,t,831
zip code,35045,t,831
county name,CHILTON,t,831
phone number,2057552500,t,831
hospital type,Acute Care Hospitals,t,831
hospital owner,Voluntary non-profit - Private,t,831
emergency service,Yes,t,831
condition,Heart Attack,f,831
measure code,AMI-4,f,831
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,831
score,,t,831
sample,0 patients,t,831
stateavg,AL_AMI-4,t,831
provider number,10043,t,832
hospital name,CHILTON MEDICAL CENTER,t,832
address1,1010 LAY DAM ROAD,t,832
address2,,t,832
address3,,t,832
city,CLANTON,t,832
state,AL,f,832
zip code,35045,t,832
county name,CHILTON,t,832
phone number,2057552500,t,832
hospital type,Acute Care Hospitals,t,832
hospital owner,Voluntary non-profit - Private,t,832
emergency service,Yes,t,832
condition,Heart Attack,f,832
measure code,AMI-5,f,832
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,832
score,100%,t,832
sample,1 patients,t,832
stateavg,AL_AMI-5,f,832
provider number,10043,t,833
hospital name,CHILTON MEDICAL CENTER,t,833
address1,1010 LAY DAM ROAD,t,833
address2,,t,833
address3,,t,833
city,CLANTON,t,833
state,AL,f,833
zip code,35045,t,833
county name,CHILTON,t,833
phone number,2057552500,t,833
hospital type,Acute Care Hospitals,t,833
hospital owner,Voluntary non-profit - Private,t,833
emergency service,Yes,t,833
condition,Heart Attack,f,833
measure code,AMI-7A,f,833
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,833
score,,t,833
sample,0 patients,t,833
stateavg,AL_AMI-7A,f,833
provider number,10043,t,834
hospital name,CHILTON MEDICAL CENTER,t,834
address1,1010 LAY DAM ROAD,t,834
address2,,t,834
address3,,t,834
city,CLANTON,t,834
state,AL,f,834
zip code,35045,t,834
county name,CHILTON,t,834
phone number,2057552500,t,834
hospital type,Acute Care Hospitals,t,834
hospital owner,Voluntary non-profit - Private,t,834
emergency service,Yes,t,834
condition,Heart Attack,f,834
measure code,AMI-8A,f,834
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,834
score,,t,834
sample,0 patients,t,834
stateavg,AL_AMI-8A,f,834
provider number,10043,t,835
hospital name,CHILTON MEDICAL CENTER,t,835
address1,1010 LAY DAM ROAD,t,835
address2,,t,835
address3,,t,835
city,CLANTON,t,835
state,AL,t,835
zip code,35045,t,835
county name,CHILTON,t,835
phone number,2057552500,t,835
hospital type,Acute Care Hospitals,t,835
hospital owner,Voluntary non-profit - Private,t,835
emergency service,Yes,t,835
condition,Heart Failure,f,835
measure code,HF-1,f,835
measure name,Heart Failure Patients Given Discharge Instructions,f,835
score,84%,t,835
sample,19 patients,t,835
stateavg,AL_HF-1,t,835
provider number,10043,t,836
hospital name,CHILTON MEDICAL CENTER,t,836
address1,1010 LAY DAM ROAD,t,836
address2,,t,836
address3,,t,836
city,CLANTON,t,836
state,AL,f,836
zip code,35045,t,836
county name,CHILTON,t,836
phone number,2057552500,t,836
hospital type,Acute Care Hospitals,t,836
hospital owner,Voluntary non-profit - Private,t,836
emergency service,Yes,t,836
condition,Heart Failure,f,836
measure code,HF-2,f,836
hospital type,Acute Care Hospitals,t,850
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,836
score,89%,t,836
sample,28 patients,t,836
stateavg,AL_HF-2,f,836
provider number,10043,t,837
hospital name,CHILTON MEDICAL CENTER,t,837
address1,1010 LAY DAM ROAD,t,837
address2,,t,837
address3,,t,837
city,CLANTON,t,837
state,AL,t,837
zip code,35045,t,837
county name,CHILTON,t,837
phone number,2057552500,t,837
hospital type,Acute Care Hospitals,t,837
hospital owner,Voluntary non-profit - Private,t,837
emergency service,Yes,t,837
condition,Heart Failure,f,837
measure code,HF-3,f,837
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,837
score,75%,t,837
sample,4 patients,t,837
stateavg,AL_HF-3,t,837
provider number,10043,t,838
hospital name,CHILTON MEDICAL CENTER,t,838
address1,1010 LAY DAM ROAD,t,838
address2,,t,838
address3,,t,838
city,CLANTON,t,838
state,AL,f,838
zip code,35045,t,838
county name,CHILTON,t,838
phone number,2057552500,t,838
hospital type,Acute Care Hospitals,t,838
hospital owner,Voluntary non-profit - Private,t,838
emergency service,Yes,t,838
condition,Heart Failure,f,838
measure code,HF-4,f,838
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,838
score,100%,t,838
sample,4 patients,t,838
stateavg,AL_HF-4,f,838
provider number,10043,t,839
hospital name,CHILTON MEDICAL CENTER,t,839
address1,1010 LAY DAM ROAD,t,839
address2,,t,839
address3,,t,839
city,CLANTON,t,839
state,AL,f,839
zip code,35045,t,839
county name,CHILTON,t,839
phone number,2057552500,t,839
hospital type,Acute Care Hospitals,t,839
hospital owner,Voluntary non-profit - Private,t,839
emergency service,Yes,t,839
condition,Pneumonia,t,839
measure code,PN-2,f,839
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,839
score,89%,t,839
sample,47 patients,t,839
stateavg,AL_PN-2,f,839
provider number,10043,t,840
hospital name,CHILTON MEDICAL CENTER,t,840
address1,1010 LAY DAM ROAD,t,840
address2,,t,840
address3,,t,840
city,CLANTON,t,840
state,AL,f,840
zip code,35045,t,840
county name,CHILTON,t,840
phone number,2057552500,t,840
hospital type,Acute Care Hospitals,t,840
hospital owner,Voluntary non-profit - Private,t,840
emergency service,Yes,t,840
condition,Pneumonia,f,840
measure code,PN-3B,f,840
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,840
score,92%,t,840
sample,36 patients,t,840
stateavg,AL_PN-3B,f,840
provider number,10043,t,841
hospital name,CHILTON MEDICAL CENTER,t,841
address1,1010 LAY DAM ROAD,t,841
address2,,t,841
address3,,t,841
city,CLANTON,t,841
state,AL,t,841
zip code,35045,t,841
county name,CHILTON,t,841
phone number,2057552500,t,841
hospital type,Acute Care Hospitals,t,841
hospital owner,Voluntary non-profit - Private,t,841
emergency service,Yes,t,841
condition,Pneumonia,f,841
measure code,PN-4,f,841
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,841
score,94%,t,841
sample,16 patients,t,841
stateavg,AL_PN-4,t,841
provider number,10043,t,842
hospital name,CHILTON MEDICAL CENTER,t,842
address1,1010 LAY DAM ROAD,t,842
address2,,t,842
address3,,t,842
city,CLANTON,t,842
state,AL,f,842
zip code,35045,t,842
county name,CHILTON,t,842
phone number,2057552500,t,842
hospital type,Acute Care Hospitals,t,842
hospital owner,Voluntary non-profit - Private,t,842
emergency service,Yes,t,842
condition,Pneumonia,f,842
measure code,PN-5C,f,842
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,842
score,98%,t,842
sample,44 patients,t,842
stateavg,AL_PN-5C,f,842
provider number,10043,t,843
hospital name,CHILTON MEDICAL CENTER,t,843
address1,1010 LAY DAM ROAD,t,843
address2,,t,843
address3,,t,843
city,CLANTON,t,843
state,AL,t,843
zip code,35045,t,843
county name,CHILTON,t,843
phone number,2057552500,t,843
hospital type,Acute Care Hospitals,t,843
hospital owner,Voluntary non-profit - Private,t,843
emergency service,Yes,t,843
condition,Pneumonia,t,843
measure code,PNx6,t,843
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),t,843
score,95%,t,843
sample,38 patients,t,843
stateavg,AL_PNx6,t,843
provider number,10043,t,844
hospital name,CHILTON MEDICAL CENTER,t,844
address1,1010 LAY DAM ROAD,t,844
address2,,t,844
address3,,t,844
city,CLANTON,t,844
state,AL,f,844
zip code,35045,t,844
county name,CHILTON,t,844
phone number,2057552500,t,844
hospital type,Acute Care Hospitals,t,844
hospital owner,Voluntary non-profit - Private,t,844
emergency service,Yes,t,844
condition,Pneumonia,t,844
measure code,PN-7,f,844
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,844
score,81%,t,844
sample,37 patients,t,844
stateavg,AL_PN-7,f,844
provider number,10043,t,845
hospital name,CHILTON MEDICAL CENTER,t,845
address1,1010 LAY DAM ROAD,t,845
address2,,t,845
address3,,t,845
city,CLANTON,t,845
state,AL,t,845
zip code,35045,t,845
county name,CHILTON,t,845
phone number,2057552500,t,845
hospital type,Acute Care Hospitals,t,845
hospital owner,Voluntary non-profit - Private,t,845
emergency service,Yes,t,845
condition,Surgical Infection Prevention,f,845
measure code,SCIP-CARD-2,f,845
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,845
score,50%,t,845
sample,2 patients,t,845
stateavg,AL_SCIP-CARD-2,t,845
provider number,10043,t,846
hospital name,CHILTON MEDICAL CENTER,t,846
address1,1010 LAY DAM ROAD,t,846
address2,,t,846
address3,,t,846
city,CLANTON,t,846
state,AL,t,846
zip code,35045,t,846
county name,CHILTON,t,846
phone number,2057552500,t,846
hospital type,Acute Care Hospitals,t,846
hospital owner,Voluntary non-profit - Private,t,846
emergency service,Yes,t,846
condition,Surgical Infection Prevention,t,846
measure code,SCIP-INF-1,t,846
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,846
score,100%,t,846
sample,4 patiexts,t,846
stateavg,AL_SCIP-INF-1,t,846
provider number,10043,t,847
hospital name,CHILTON MEDICAL CENTER,t,847
address1,1010 LAY DAM ROAD,t,847
address2,,t,847
address3,,t,847
city,CLANTON,t,847
state,AL,f,847
zip code,35045,t,847
county name,CHILTON,t,847
phone number,2057552500,t,847
hospital type,Acute Care Hospitals,t,847
hospital owner,Voluntaxy non-pxofit - Pxivate,t,847
emergency service,Yes,t,847
condition,Surgical Infection Prevention,f,847
measure code,SCIP-INF-2,f,847
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,847
score,100%,t,847
sample,4 patients,t,847
stateavg,AL_SCIP-INF-2,f,847
provider number,10043,t,848
hospital name,CHILTON MEDICAL CENTER,t,848
address1,1010 LAY DAM ROAD,t,848
address2,,t,848
address3,,t,848
city,CLANTON,t,848
state,AL,t,848
zip code,35045,t,848
county name,CHILTON,t,848
phone number,2057552500,t,848
hospital type,Acute Care Hospitals,t,848
hospital owner,Voluntary non-profit - Private,t,848
emergency service,Yes,t,848
condition,Surgical Infection Prevention,f,848
measure code,SCIP-INF-3,f,848
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,848
score,100%,t,848
sample,4 patients,t,848
stateavg,AL_SCIP-INF-3,t,848
provider number,10043,t,849
hospital name,CHILTON MEDICAL CENTER,t,849
address1,1010 LAY DAM ROAD,t,849
address2,,t,849
address3,,t,849
city,CLANTON,t,849
state,AL,t,849
zip code,35045,t,849
county name,CHILTON,t,849
phone number,2057552500,t,849
hospital type,Acute Caxe Hospitals,t,849
hospital owner,Voluntary non-profit - Private,t,849
emergency service,Yes,t,849
condition,Surgical Infection Prevention,f,849
measure code,SCIP-INF-4,f,849
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,849
score,,t,849
sample,0 patients,t,849
stateavg,AL_SCIP-INF-4,t,849
provider number,10043,t,850
hospital name,CHILTON MEDICAL CENTER,t,850
address1,x0x0 LAY DAM ROAD,t,850
address2,,t,850
address3,,t,850
city,CLANTON,t,850
state,AL,t,850
zip code,35045,t,850
county name,CHILTON,t,850
phone number,2057552500,t,850
hospital owner,Voluntary non-profit - Private,t,850
emergency service,Yes,t,850
condition,Surgical Infection Prevention,t,850
measure code,SCIP-INF-6,f,850
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,850
score,100%,t,850
sample,5 patients,t,850
stateavg,AL_SCIP-INF-6,t,850
provider number,10043,t,851
hospital name,CHILTON MEDICAL CENTER,t,851
address1,1010 LAY DAM ROAD,t,851
address2,,t,851
address3,,t,851
city,CLANTON,t,851
state,AL,f,851
zip code,35045,t,851
county name,CHILTON,t,851
phone number,2057552500,t,851
hospital type,Acute Care Hospitals,t,851
hospital owner,Voluntary non-profit - Private,t,851
emergency service,Yes,t,851
condition,Surgical Infection Prevention,t,851
measure code,SCIP-VTE-1,f,851
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,851
score,,t,851
sample,0 patients,t,851
stateavg,AL_SCIP-VTE-1,f,851
provider number,10043,t,852
hospital name,CHILTON MEDICAL CENTER,t,852
address1,1010 LAY DAM ROAD,t,852
address2,,t,852
address3,,t,852
city,CLANTON,t,852
state,AL,f,852
zip code,35045,t,852
county name,CHILTON,t,852
phone number,2057552500,t,852
hospital type,Acute Care Hospitals,t,852
hospital owner,Voluntary non-profit - Private,t,852
emergency service,Yes,t,852
condition,Surgical Infxction Prxvxntion,f,852
measure code,SCIP-VTE-2,f,852
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,852
score,,t,852
sample,0 patients,t,852
stateavg,AL_SCIP-VTE-2,f,852
provider number,10044,t,853
hospital name,MARION REGIONAL MEDICAL CENTER,t,853
address1,1256 MILITARY STREET SOUTH,t,853
address2,,t,853
address3,,t,853
city,HAMILTON,f,853
state,AL,f,853
zip code,35570,f,853
county name,MARION,t,853
phone number,2059216200,t,853
hospital type,Acute Care Hospitals,t,853
hospital owner,Voluntary non-profit - Private,t,853
emergency service,Yes,t,853
condition,Heart Attack,f,853
measure code,AMI-1,f,853
measure name,Heart Attack Patients Given Aspirin at Arrival,f,853
score,67%,t,853
sample,3 patients,t,853
stateavg,AL_AMI-1,f,853
provider number,10044,t,854
hospital name,MARION REGIONAL MEDICAL CENTER,t,854
address1,1256 MILITARY STREET SOUTH,t,854
address2,,t,854
address3,,t,854
city,HAMILTON,f,854
state,AL,f,854
zip code,35570,f,854
county name,MARION,t,854
phone number,2059216200,t,854
hospital type,Acute Care Hospitals,t,854
hospital owner,Voluntary non-profit - Private,t,854
emergency service,Yes,t,854
condition,Heart Attack,f,854
measure code,AMI-2,f,854
measure name,Heart Attack Patients Given Aspirin at Discharge,f,854
score,67%,t,854
sample,3 patients,t,854
stateavg,AL_AMI-2,f,854
provider number,10044,t,855
hospital name,MARION REGIONAL MEDICAL CENTER,t,855
address1,1256 MILITARY STREET SOUTH,t,855
address2,,t,855
address3,,t,855
city,HAMILTON,f,855
state,AL,t,855
zip code,35570,f,855
county name,MARION,t,855
phone number,2059216200,t,855
hospital type,Acute Care Hospitals,t,855
hospital owner,Voluntary non-profit - Private,t,855
emergency service,Yes,t,855
condition,Heart Attack,f,855
measure code,AMI-3,f,855
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,855
score,100%,t,855
sample,1 patients,t,855
stateavg,AL_AMI-3,t,855
provider number,10044,t,856
hospital name,MARION REGIONAL MEDICAL CENTER,t,856
address1,1256 MILITARY STREET SOUTH,t,856
address2,,t,856
address3,,t,856
city,HAMILxON,f,856
state,AL,t,856
zip code,35570,f,856
county name,MARION,t,856
phone number,x059x16x00,t,856
hospital type,Acute Care Hospitals,t,856
hospital owner,Voluntary non-profit - Private,t,856
emergency service,Yes,t,856
condition,Heart Attack,f,856
measure code,AMI-4,f,856
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,856
score,,t,856
sample,0 patients,t,856
stateavg,AL_AMI-4,t,856
provider number,10044,t,857
hospital name,MARION REGIONAL MEDICAL CENTER,t,857
address1,1256 MILITARY STREET SOUTH,t,857
address2,,t,857
address3,,t,857
city,HAMILTON,f,857
state,AL,f,857
zip code,35570,f,857
county name,MARION,t,857
phone number,2059216200,t,857
hospital type,Acute Care Hospitals,t,857
hospital owner,Voluntary non-profit - Private,t,857
emergency service,Yes,t,857
condition,Heart Attack,f,857
measure code,AMI-5,f,857
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,857
score,33%,t,857
sample,3 patients,t,857
stateavg,AL_AMI-5,f,857
provider number,10044,t,858
hospital name,MARION REGIONAL MEDICAL CENTER,t,858
address1,1256 MILITARY STREET SxUTH,t,858
address2,,t,858
address3,,t,858
city,HAMILTON,f,858
state,AL,f,858
zip code,35570,f,858
county name,MARION,t,858
phone number,2059216200,t,858
hospital type,Acute Care Hospitals,t,858
hospital owner,Voluntary non-profit - Private,t,858
emergency service,Yes,t,858
condition,Heart Attack,f,858
measure code,AMI-7A,f,858
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,858
score,,t,858
sample,0 patients,t,858
stateavg,AL_AMI-7A,f,858
provider number,10044,t,859
hospital name,MARION REGIONAL MEDICAL CENTER,t,859
address1,1256 MILITARY STREET SOUTH,t,859
address2,,t,859
address3,,t,859
city,HAMILTON,f,859
state,AL,f,859
zip code,35570,f,859
county name,MARION,t,859
phone number,2059216200,t,859
hospital type,Acute Care Hospitals,t,859
hospital owner,Voluntary non-profit - Private,t,859
emergency service,Yes,t,859
condition,Heart Attack,f,859
measure code,AMI-8A,f,859
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,859
score,,t,859
sample,0 patients,t,859
stateavg,AL_AMI-8A,f,859
provider number,1xx44,t,860
hospital name,MARION REGIONAL MEDICAL CENTER,t,860
address1,1256 MILITARY STREET SOUTH,t,860
address2,,t,860
address3,,t,860
city,HAMILTON,f,860
state,AL,t,860
zip code,35570,f,860
county name,MARION,t,860
phone number,2059216200,t,860
hospital type,Acute Care Hospitals,t,860
hospital owner,Voluntary non-profit - Private,t,860
emergency service,Yes,t,860
condition,Heart Failure,f,860
measure code,HF-1,f,860
measure name,Heart Failure Patients Given Discharge Instructions,f,860
score,74%,t,860
sample,38 patients,t,860
stateavg,AL_HF-1,t,860
provider number,10044,t,861
hospital name,MARION REGIONAL MEDICAL CENTER,t,861
address1,1256 MILITARY STREET SOUTH,t,861
address2,,t,861
address3,,t,861
city,HAMILTON,f,861
state,AL,f,861
zip code,35570,f,861
county name,MARION,t,861
phone number,2059216200,t,861
hospital type,Acute Care Hospitals,t,861
hospital owner,Voluntary non-profit - Private,t,861
emergency service,Yes,t,861
condition,Heart Failure,f,861
measure code,HF-2,f,861
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,861
score,80x,t,861
sample,46 patients,t,861
stateavg,AL_HF-2,f,861
provider number,10044,t,862
hospital name,MARION REGIONAL MEDICAL CENTER,t,862
address1,1256 MILITARY STREET SOUTH,t,862
address2,,t,862
address3,,t,862
city,HAMILTON,f,862
state,AL,t,862
zip code,35570,f,862
county name,MARION,t,862
phone number,2059216200,t,862
hospital type,Acute Care Hospitals,t,862
hospital owner,Voluntary non-profit - Private,t,862
emergency service,Yes,t,862
condition,Heart Failure,f,862
measure code,HF-3,f,862
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,862
score,78%,t,862
sample,18 patients,t,862
stateavg,AL_HF-3,t,862
provider number,10044,t,863
hospital name,MARION REGIONAL MEDICAL CENTER,t,863
address1,1256 MILITARY STREET SOUTH,t,863
address2,,t,863
address3,,t,863
city,HAMILTON,f,863
state,AL,f,863
zip code,35570,f,863
county name,MARION,t,863
phone number,2059216200,t,863
hospital type,Acute Care Hospitals,t,863
hospital owner,Voluntary non-profit - Private,t,863
emergency service,Yes,t,863
condition,Heart Failure,f,863
measure code,HF-4,f,863
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,863
score,80%,t,863
sample,10 patients,t,863
stateavg,AL_HF-4,f,863
provider number,10044,t,864
hospital name,MARION REGIONAL MEDICAL CENTER,t,864
address1,1256 MILITARY STREET SOUTH,t,864
address2,,t,864
address3,,t,864
city,HAMILTON,f,864
state,AL,f,864
zip code,35570,f,864
county name,MARION,t,864
phone number,2059216200,t,864
hospital type,Acute Care Hospitals,t,864
hospital owner,Voluntary non-profit - Private,t,864
emergency service,Yes,t,864
condition,Pneumonia,t,864
measure code,PN-2,f,864
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,864
score,96%,t,864
sample,101 patients,t,864
stateavg,AL_PN-2,f,864
provider number,10044,t,865
hospital name,MARION REGIONAL MEDICAL CENTER,t,865
address1,1256 MILITARY STREET SOUTH,t,865
address2,,t,865
address3,,t,865
city,HAMILTON,f,865
state,AL,f,865
zip code,35570,f,865
county name,MARION,t,865
phone number,2059216200,t,865
hospital type,Acute Care Hospitals,t,865
hospital owner,Voluntary non-profit - Private,t,865
emergency service,Yes,t,865
condition,Pneumonia,f,865
measure code,PN-3B,f,865
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,865
score,99%,t,865
sample,78 patients,t,865
stateavg,AL_PN-3B,f,865
provider number,10044,t,866
hospital name,MARION REGIONAL MEDICAL CENTER,t,866
address1,1256 MILITARY STREET SOUTH,t,866
address2,,t,866
address3,,t,866
city,HAMILTON,f,866
state,AL,t,866
zip code,35570,f,866
county name,MARION,t,866
phone number,20x9216200,t,866
hospital type,Acute Care Hospitals,t,866
hospital owner,Voluntary non-profit - Private,t,866
emergency service,Yes,t,866
condition,Pneumonia,t,866
measure code,Px-4,t,866
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,866
score,90%,t,866
sample,42 patients,t,866
stateavg,AL_PN-4,t,866
provider number,10044,t,867
hospital name,MARION REGIONAL MEDICAL CENTER,t,867
address1,1256 MILITARY STREET SOUTH,t,867
address2,,t,867
address3,,t,867
city,HAMILTON,f,867
state,AL,f,867
zip code,35570,f,867
county name,MARION,t,867
phone number,2059216200,t,867
hospital type,Acute Care Hospitals,t,867
hospital owner,Voluntary non-profit - Private,t,867
emergency service,Yxs,t,867
condition,Pneumonia,f,867
measure code,PN-5C,f,867
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,867
score,98%,t,867
sample,121 patiexts,t,867
stateavg,AL_PN-5C,f,867
provider number,10044,t,868
hospital name,MARION REGIONAL MEDICAL CENTER,t,868
address1,1256 MILITARY STREET SOUTH,t,868
address2,,t,868
address3,,t,868
city,HAMILTON,f,868
state,AL,f,868
zip code,35570,f,868
county name,MARION,t,868
phone number,2059216200,t,868
hospital type,Acute Care Hospitals,t,868
hospital owner,Voluntary non-profit - Private,t,868
emergency service,Yes,t,868
condition,Pneumonia,f,868
measure code,PN-6,f,868
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,868
score,76%,t,868
sample,97 patients,t,868
stateavg,AL_PN-6,f,868
provider number,10044,t,869
hospital name,MARION REGIONAL MEDICAL CENTER,t,869
address1,1256 MILITARY STREET SOUTH,t,869
address2,,t,869
address3,,t,869
city,HAMILTON,f,869
state,AL,f,869
zip code,35570,f,869
county name,MARION,t,869
phone number,2059216200,t,869
hospital type,Acute Care Hospitals,t,869
hospital owner,Voluxtary xox-profit - Private,t,869
emergency service,Yes,t,869
condition,Pneumonia,t,869
measure code,PN-7,f,869
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,869
score,91%,t,869
sample,85 patients,t,869
stateavg,AL_PN-7,f,869
provider number,10044,t,870
hospital name,MARION REGIONAL MEDICAL CENTER,t,870
address1,1256 MILITARY STREET SOUTH,t,870
address2,,t,870
address3,,t,870
city,HAMILTON,f,870
state,AL,t,870
zip code,35570,f,870
county name,MARION,t,870
phone number,2059216200,t,870
hospital type,Acute Care Hospitals,t,870
hospital owner,Voluntary non-profit - Private,t,870
emergency service,Yes,t,870
condition,Surgical Ixfectiox Prevextiox,f,870
measure code,SCIP-CARD-2,f,870
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,870
score,67%,t,870
sample,3 patients,t,870
stateavg,AL_SCIP-CARD-2,t,870
provider number,10044,t,871
hospital name,MARION REGIONAL MEDICAL CENTER,t,871
address1,1256 MILITARY STREET SOUTH,t,871
address2,,t,871
address3,,t,871
city,HAMILTON,f,871
state,AL,t,871
zip code,35570,f,871
county name,MARION,t,871
phone number,2059216200,t,871
hospital type,Acute Care Hospitals,t,871
hospital owner,Voluntary non-profit - Private,t,871
emergency service,Yes,t,871
condition,Surgical Infection Prevention,t,871
measure code,SCIP-INF-1,t,871
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,871
score,80%,t,871
sample,15 patients,t,871
stateavg,AL_SCIP-INF-1,t,871
provider number,10044,t,872
hospital name,MARION REGIONAL MEDICAL CENTER,t,872
address1,1256 MILITARY STREET SOUTH,t,872
address2,,t,872
address3,,t,872
city,HAMILTON,f,872
state,AL,f,872
zip code,35570,f,872
county name,MARION,t,872
phone number,2059216200,t,872
hospital type,Acute Care Hospitals,t,872
hospital owner,Voluntary non-profit - Private,t,872
emergency service,Yes,t,872
condition,Surgical Infection Prevention,f,872
measure code,SCIP-INF-2,f,872
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,872
score,87%,t,872
sample,15 patients,t,872
stateavg,AL_SCIP-INF-2,f,872
provider number,10044,t,873
hospital name,MARION REGIONAL MEDICAL CENTER,t,873
address1,1256 MILITARY STREET SOUTH,t,873
address2,,t,873
address3,,t,873
city,HAMILTON,f,873
state,AL,t,873
zip code,35570,f,873
county name,MARION,t,873
phone number,2059216200,t,873
hospital type,Acute Care Hospitals,t,873
hospital owner,Voluntaxy non-pxofit - Pxivate,t,873
emergency service,Yes,t,873
condition,Surgical Infection Prevention,f,873
measure code,SCIP-INF-3,f,873
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,873
score,87%,t,873
sample,15 patiexts,t,873
stateavg,AL_SCIP-INF-3,t,873
provider number,10044,t,874
hospital name,MARION REGIONAL MEDICAL CENTER,t,874
address1,1256 MILITARY STREET SOUTH,t,874
address2,,t,874
address3,,t,874
city,HAMILTON,f,874
state,AL,t,874
zip code,35570,f,874
county name,MARION,t,874
phone number,2059216200,t,874
hospital type,Acute Care Hospitals,t,874
hospital owner,Voluntary non-profit - Private,t,874
emergency service,Yes,t,874
condition,Surgical Infection Prevention,f,874
measure code,SCIP-INF-4,f,874
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,874
score,,t,874
sample,0 patients,t,874
stateavg,AL_SCIP-INF-4,t,874
provider number,10044,t,875
hospital name,MARION REGIONAL MEDICAL CENTER,t,875
address1,1256 MILITARY STREET SOUTH,t,875
address2,,t,875
address3,,t,875
city,HAMILTON,f,875
state,AL,t,875
zip code,35570,f,875
county name,MARION,t,875
phone number,2059216200,t,875
hospital type,Acute Care Hospitals,t,875
